제품코드,제품명,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
9200000004313,클래식 민트 모카,335,0.7,4,8,0,200,43,210,0,62
128192,화이트 초콜릿 모카,350,10,11,18,0,200,37,75,30,38
9200000005181,아이스 플랫 화이트,120,3.5,6,6,0,90,9,130,20,11
9200000005178,플랫 화이트,170,5,8,8,0,130,13,130,25,15
110612,바닐라 스타벅스 더블 샷,125,4.5,2,6,0,30,14,150,5,16
9200000003505,사케라또 아포가토,290,10,4,15,0,70,30,210,20,36
9200000003506,스파클링 시트러스 에스프레소,65,0,0,0,0,5,15,105,0,16
20,에스프레소,5,0,0,0,0,0,0,75,0,1
9900000001604,에스프레소 플라이트,,,,,,,,,,
9900000001721,에스프레소 플라이트 도산,,,,,,,,,,
110611,커피 스타벅스 더블 샷,125,4.5,2,6,0,30,14,150,5,16
9200000001631,클래식 아포가토,240,10,4,15,0,70,18,210,20,23
110614,헤이즐넛 스타벅스 더블 샷,125,4.5,2,6,0,30,14,150,5,16
9200000006593,바나나 마카다미아 오트 프라푸치노,330,0.9,3,6,0,350,46,0,0,62
9200000006594,초코 바나나 마카다미아 오트 프라푸치노,325,0.7,3,5,0,350,45,5,0,61
9200000002760,더블 에스프레소 칩 프라푸치노,225,13,4,16,0,170,18,130,10,23
9200000006303,스타벅스 꿀 호떡 크림 프라푸치노,325,10,6,15,0,180,26,0,15,47
168007,에스프레소 프라푸치노,110,1.1,2,1.7,0,150,17,120,5,21
168016,자바 칩 프라푸치노,285,6,5,12,0,180,30,100,10,40
168010,카라멜 프라푸치노,225,8,3,10,0,180,24,85,10,28
9200000005369,딸기 글레이즈드 크림 프라푸치노,315,9,5,12,0,250,37,5,30,52
9200000006304,베르가못 딸기 크림 프라푸치노,420,13,5,17,0,260,50,0,15,62
9200000006305,베르가못 제주 말차 크림 프라푸치노,405,13,5,17,0,260,48,30,15,58
9200000005782,인절미 제주 말차 크림 프라푸치노,442,11,8,16,0,330,50,37,15,58
9200000002088,제주 까망 크림 프라푸치노,505,8,11,21,0,380,48,0,15,89
9200000002502,제주 말차 크림 프라푸치노,215,7,5,10,0,170,20,60,15,23
9200000002090,제주 쑥떡 크림 프라푸치노,410,10,8,14,0,280,43,0,15,61
168066,초콜릿 크림 칩 프라푸치노,275,7,6,12,0,180,27,10,15,34
9200000002403,화이트 타이거 프라푸치노,385,7,6,13,0.3,240,50,0,20,60
167004,망고 패션 프루트 블렌디드,180,0,2,1.1,0,105,36,10,0,42
9200000004716,북한산 레몬 얼 그레이 블렌디드,110,0.1,0,0.2,0,10,25,8,0,28
9200000004945,스타벅스 클래식 밀크티 블렌디드,315,13,3,16,0,55,37,60,10,40
9200000004870,여수 바다 유자 블렌디드,145,0,0,0.1,0,10,34,0,0,42
9200000005377,제주 탄제린 블렌디드,260,0,1,0.3,0,25,43,0,0,84
9200000003276,딸기 딜라이트 요거트 블렌디드,255,3.5,7,6,0,100,38,0,15,42
9200000006577,말차 폭포 유자 블렌디드,150,0,1,0.2,0,5,32,65,0,22
169001,망고 바나나 블렌디드,290,0.9,4,2.7,0,130,45,0,5,58
9200000006466,자몽 허니 레몬 블렌디드,190,0,0,0,0,5,40,0,0,47
9200000004780,피치 망고 블렌디드,225,0,1,0.5,0,100,32,0,0,54
9200000003763,딸기 아사이 레모네이드 스타벅스 리프레셔,105,0,1,0.1,0,0,24,30,0,25
9200000004753,딸기 아사이 레모네이드 스타벅스 리프레셔,265,0,1,0.1,0,0,62,73,0,64
9200000006172,골든 만다린 홉 피지오,120,0,0,0.1,0,5,27,16,0,30
9200000005168,라이트 핑크 자몽 피지오,70,0,0,0.1,0,0,17,0,0,38
9200000005283,리버 피치 피지오,155,0,0,0,0,45,22,0,0,38
9200000004751,여수 바다 자몽 피지오,250,0,1,0.8,0,105,45,0,0,60
9200000005588,의암호의 초록빛 자몽 피지오,130,0,0,0,0,45,28,0,0,33
9200000004946,제주팔삭 셔벗 피지오,165,0,0,0,0,5,38,0,0,42
9200000004947,제주팔삭 피지오,150,0,0,0,0,5,34,0,0,38
9200000005983,체리&자두 에너지 피지오,76,0,0,0,0,0,18,0,0,35
107051,쿨 라임 피지오,105,0,0,0,0,20,25,110,0,28
9200000004567,피치 딸기 피지오,145,0,0,0,0,20,26,37,0,35
9200000006646,유자 배 캐모마일 티,190,0,0,0.2,0,0,33,0,0,52
9200000006649,아이스 유자 배 캐모마일 티,130,0,0,0.1,0,0,24,0,0,36
9200000006643,아이스 프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
9200000006640,프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
4004000000056,민트 블렌드 티,0,0,0,0,0,0,0,0,0,0
4004000000059,아이스 민트 블렌드 티,0,0,0,0,0,0,0,0,0,0
4004000000039,아이스 얼 그레이 티,0,0,0,0,0,0,0,50,0,0
9200000000229,아이스 유스베리 티,0,0,0,0,0,0,0,20,0,0
9200000002959,아이스 유자 민트 티,95,0,0,0,0,5,22,0,0,26
4004000000019,아이스 잉글리쉬 브렉퍼스트 티,0,0,0,0,0,0,0,40,0,0
400400000094,아이스 제주 유기농 녹차로 만든 티,0,0,0,0,0,0,0,16,0,0
9200000004944,아이스 제주팔삭 & 자몽 허니 블랙 티,140,0,0,0,0,5,38,27,0,38
4004000000079,아이스 캐모마일 블렌드 티,0,0,0,0,0,0,0,0,0,0
4004000000069,아이스 히비스커스 블렌드 티,0,0,0,0,0,0,0,0,0,0
4004000000036,얼 그레이 티,0,0,0,0,0,0,0,70,0,0
9200000000226,유스베리 티,0,0,0,0,0,0,0,20,0,0
9200000002956,유자 민트 티,140,0,0,0,0,10,33,0,0,40
4004000000016,잉글리쉬 브렉퍼스트 티,0,0,0,0,0,0,0,70,0,0
9200000000187,자몽 허니 블랙 티,125,0,0,0,0,5,30,70,0,31
400400000091,제주 유기농 녹차로 만든 티,0,0,0,0,0,0,0,16,0,0
9200000004943,제주팔삭 & 자몽 허니 블랙 티,140,0,0,0,0,5,38,70,0,38
4004000000076,캐모마일 블렌드 티,0,0,0,0,0,0,0,0,0,0
4004000000066,히비스커스 블렌드 티,0,0,0,0,0,0,0,0,0,0
9200000004566,레드 파워 패션 티,190,0,1,0,0,40,31,33,0,46
9200000004990,레몬 캐모마일 블렌드 티,130,0,0,0,0,10,30,0,0,32
9200000005307,복숭아 아이스 티,110,0,0,0.3,0,35,15,30,0,32
9200000005310,복숭아 아이스 티,255,0,1,1,0,75,34,70,0,76
9200000005304,복숭아 핫 티,160,0,0,0.3,0,50,21,70,0,44
9200000006560,시트러스 가든 민트 티,140,0,0,0,0,5,32,0,0,29
9200000004991,아이스 레몬 캐모마일 블렌드 티,130,0,0,0,0,10,30,0,0,32
9200000000190,아이스 자몽 허니 블랙 티,125,0,0,0,0,5,30,30,0,31
9200000004769,아이스 자몽 허니 블랙 티,345,0,1,0,0,10,79,75,0,82
9200000004954,말차 티라미수 라떼,415,15,11,22,0,230,39,75,35,42
9200000004933,스타벅스 클래식 밀크 티,299,13,5,17,0,80,31,190,15,33
9200000004942,스타벅스 클래식 밀크 티 보틀,485,21,7,27,0,130,51,195,25,54
9200000004955,아이스 말차 티라미수 라떼,355,13,8,19,0,180,34,75,25,37
9200000004936,아이스 스타벅스 클래식 밀크 티,198,9,3,11,0,50,21,80,10,22
9200000004288,아이스 얼 그레이 바닐라 티 라떼,270,12,6,16,0,100,21,29,25,26
9200000005590,아이스 의암호의 보랏빛 라벤더 티 라떼,290,7,4,10,0,80,33,13,15,46
9200000005781,아이스 인절미 제주 말차 라떼,353,11,9,17,0,170,34,52,20,35
9200000002499,아이스 제주 말차 라떼,155,3.6,6,6,0,95,16,60,20,18
9200000006059,아이스 프렌치 바닐라 말차 라떼,260,11,6,14,0,160,25,40,20,27
9200000004285,얼 그레이 바닐라 티 라떼,290,13,7,17,0,105,22,55,25,28
9200000005589,의암호의 보랏빛 라벤더 티 라떼,315,8,5,11,0,100,35,70,20,48
9200000005780,인절미 제주 말차 라떼,452,14,14,21,0,240,43,58,35,44
9200000002496,제주 말차 라떼,205,5,9,9,0,130,20,60,25,22
9200000006548,클라우드 코코 말차,160,3.4,2,4.1,0,65,24,47,0,29
9200000006058,프렌치 바닐라 말차 라떼,380,15,12,21,0,250,35,40,35,36
9200000004950,딸기 콜드폼 초콜릿,255,2,7,3.8,0,110,45,5,10,49
72,시그니처 핫 초콜릿,410,15,13,22,0,135,39,15,18,41
110621,아이스 시그니처 초콜릿,280,13,8,17,0,100,22,15,16,23
9200000004953,아이스 티라미수 초콜릿,360,12,8,18,0,140,38,10,20,44
9200000004952,티라미수 초콜릿,440,15,12,22,0,210,44,10,35,51
9200000003658,플러피 판다 아이스 초콜릿,415,16,11,22,0,150,39,0,30,46
9200000002594,플러피 판다 핫 초콜릿,470,17,12,23,0,160,48,0,30,57
9200000004951,딸기 콜드폼 딸기 라떼,235,2,6,3.4,0,110,41,0,10,44
9200000003659,스타벅스 슬래머,210,0,0,0,0,0,49,0,0,52
17,스팀 우유,215,7,13,11,0,173,18,0,36,18
18,우유,240,8,12,13,0,200,18,0,40,18
9200000004957,제주팔삭 셔벗,95,0,0,0,0,5,22,0,0,24
9300000004346,ABC 클렌즈 190ML,90,0.1,1,0.7,0,45,16,0,0,20
9300000005406,스퀴즈드 오렌지 주스 100ML,50,0,1,0,0,0,9,0,0,12
9300000004348,케일 클렌즈 190ML,90,0.2,1,0.9,0,15,15,0,0,19
5210008070,딸기주스 190ML,110,0,0,0.6,0,30,25,0,0,27
5210008061,망고주스 190ML,117,0,1,0,0,15,23,0,0,27
9300000005405,수박 주스 190ML,100,0,1,0,0,15,20,0,0,24
9300000003771,유기농 오렌지 100% 주스 190ML,95,0,2,0.6,0,5,20,0,0,20
5210008072,케일&사과주스 190ML,105,0,0,0,0,25,26,0,0,26
5210008055,한라봉주스 190ML,88,0,1,0,0,10,20,0,0,21
9300000002565,햇사과 주스 190ML,113,0,0.2,0,0,10,27,0,0,28
9300000003775,딸기 가득 요거트 190ML,155,3.2,4,5,0.2,50,21,0,15,23
5210008063,블루베리 요거트 190ML,155,3.6,5,6,0.2,70,18,0,20,21
9200000006616,프렌즈 시나몬 돌체폼 카푸치노,265,7,8,11,0,120,29,75,25,33
9200000006619,아이스 프렌즈 시나몬 돌체폼 카푸치노,230,6,6,9,0,95,26,75,20,31
9200000003252,더블 에스프레소 크림 라떼,240,8,8,12,0,120,24,90,25,25
9200000003255,아이스 더블 에스프레소 크림 라떼,190,7,5,9,0,85,20,90,15,21
9200000006643,아이스 프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
9200000006640,프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
9200000006646,유자 배 캐모마일 티,190,0,0,0.2,0,0,33,0,0,52
9200000006649,아이스 유자 배 캐모마일 티,130,0,0,0.1,0,0,24,0,0,36
